voter_id,dim1,dim2,dim3,příjmení,jméno,kandidátka,klub
6756,1.0694783886395978,0.0947864270087946,0.0452453705970252,Helebrant,Tomáš,ANO2011,ANO
6158,1.0233041915449053,0.2080629464524847,-0.0705501946967662,Rais,Karel,ANO2011,ANO
6165,0.9131416909750788,0.0241509498211596,0.0375566543636288,Vondráček,Radek,ANO2011,ANO
6166,0.9674200634796724,0.0639489290680765,0.0843625506090356,Volný,Jan,ANO2011,ANO
6168,1.0140573556292467,0.0775848149435306,0.0445884781556436,Válková,Helena,ANO2011,ANO
6172,1.0713375247617896,0.096002802110695,0.0398265838811188,Okleštěk,Ladislav,ANO2011,ANO
6782,1.0759166620270422,0.1074027933835398,0.0438176151903376,Ryba,Drahoslav,ANO2011,ANO
6770,1.0246765446556925,0.2359815271306464,-0.0584839474645769,Oulehlová,Renata,ANO2011,ANO
6177,1.067010885721522,0.0892493824542904,0.033242357400991,Balaštíková,Margita,ANO2011,ANO
6211,0.997427769895858,0.1786034810208609,-0.1715047840189521,Kolovratník,Martin,ANO2011,ANO
6184,1.0395267259931087,0.0691322733107119,0.0047566951129649,Brabec,Richard,ANO2011,ANO
6209,1.0999412868058105,0.0373565511259784,0.0668257205350812,Kasal,David,ANO2011,ANO
6185,1.047634852068846,0.1799115513475152,-0.015683790270514,Brázdil,Milan,ANO2011,ANO
6190,1.013702943803736,0.1913500946476117,-0.0083753574987741,Faltýnek,Jaroslav,ANO2011,ANO
6201,1.0181931892546974,0.1947601811510591,-0.0396773486061605,Janulík,Miloslav,ANO2011,ANO
6202,1.0672956432751048,0.0883546733580631,0.059548787076748,Pokorná Jermanová,Jaroslava,ANO2011,ANO
6784,-0.8451457461505254,-0.0129404677176871,0.0690145646650363,Šimek,David,SPOLU,KDU-ČSL
6777,-0.8362749656345735,-0.001367968644616,0.032850094252218,Kohajda,Michael,SPOLU,KDU-ČSL
6803,-0.8447051880356142,-0.007688996020873,0.018442498514711,Horák,Jiří,SPOLU,KDU-ČSL
6801,-0.8406180942490116,-0.0173198135091981,0.0145441392192963,Navrátil,Jiří,SPOLU,KDU-ČSL
6720,-0.8293886958585949,-0.0164728503562424,0.004177204872826,Bělohlávková,Romana,SPOLU,KDU-ČSL
6555,-0.8394316435473601,-0.0132467936051782,0.0124832239940825,Philipp,Tom,SPOLU,KDU-ČSL
6786,-0.8545223012595384,-0.0197326588743992,0.0438145812369701,Teleky,Róbert,SPOLU,KDU-ČSL
6794,-0.8426428966165205,-0.0022183392284433,-0.011750372875774,Zborovský,Miroslav,SPOLU,KDU-ČSL
5449,-0.8437798223306338,-0.0075708682783802,0.0349578920370074,Carbol,Jiří,SPOLU,KDU-ČSL
